너 좋아하는 차 종류 있어?,무슨 차? 자동차? 마시는 차?
ㅋㅋ 마시는 차 말한 거야!,"아하 나 둥글레, 옥수수, 보리차 좋아해"
완전 곡물류 좋아하네 ㅋㅋ,야쓰 끓이기 귀찮아서 냉침해 먹어
그럼 오래 걸리지 않아?,끓이는 것보다는 훨씬 오래 걸리지 ㅠ
근데 냉침 하는 것도 귀찮겠다 ㅜㅠ,응! 그래서 매일은 안 먹고 가끔 마셔
그럼 엄청 귀찮지는 않겠네?,그치 매일 마시면 매일 해야 되잖아
음 생각해 보니깐 그렇긴 하네,언니는 무슨 차 좋아하는데?
나는 밀크티도 좋아하고 루이보스도 좋아해,오 고급져 나 페퍼민트도 좋아한다!
너 구해줘 홈즈 봐?,매번 보는 건 아니고 가끔! 와이?
나 지금 보는 중인데 서울은 진짜 비싸다 싶어서 ㅋㅋ,그치 ㅠ 근데 나오는 사람들 다 부자인가 봐
그니깐 웬만하면 다 돈 있더라;,내말이a 경제적으로 힘들다더니 다 거짓말
인정 나만 힘든 거였어,아냐 나도 힘들어 나도 추가해줘
진짜 어디 무인도 들어가서 살아야 하나 봐,힉 땅값은 싸겠지만 무서울 듯
정부는 대체 무엇을 하는 겁니까!,맞아요 부동산 정책 과연 실행할 수 있는 겁니까?
열심히 벌어서 내 집 마련을 꿈꿉니다 ㅜ,저도 그렇습니다 내 집 마련 완전 소망
나만 쓸 수 있는 나만의 공간,완전 생각만 해도 행복하다
그 대구랑 광주랑 열차 생기는 거 알아?,응응 봤어 얼마나 빠를까?
글쎄? 그래도 두 시간 정도는 걸리지 않을까?,기차 타고 가본 적이 없어서 나도 잘 모르겠다
개통하면 타 볼 의향이 있어?,나 태어나서 대구 한번 밖에 안 가봤어
힉 생각보다 많이 안 가봤네?,그치 그래서 개통하면 한번 가볼래
다른 지역으로 가는 것도 많이 생기면 좋겠다 ㅜㅠ,응! 부산으로 가는 기차 없는 거 알았어?
엥? 없어? 당연히 있는 줄;,나도 당연히 있는 줄 알았는데 없더라고
그럼 가려면 고속 타고 가야 되나?,근데 고속도 없었어 ㅠ
서부 정류장이 부산이야!,앗 서부 정류장이 부산이야? 몰랐넹
이력서 많이 넣구 있어?,헤헷 스크랩만 해 놓고 자소설 고쳐
다시 마음 잡았나 보네?,구라야 우선 스크랩만 엄청 해뒀어
자소서 쓰기 너무 귀찮아 ㅠㅜ,인정 내 친구는 자소서 다섯 줄 썼는데 붙었대
그 회사 어디야 나도 알려줘,완전 신기하지 아 될놈될이구나 싶었어
진짜 다섯 줄인데 붙었다니;,그치 나도 한 다섯 줄만 써도 붙고 싶다
엉엉 현실은 그렇게 녹록하지 않다,맞아 그렇지 암 것도 안 해도 걍 데려가 주면 좋겠다
그니깐 어차피 수습 때 다 알게 될텐데 ㅋㅋ,응 그리고 뭐 안 맞는다고 하면 나와야지...
그치 우린 파워 을이잖아 ㅜ,맞아 ㅠ 파워 을을 써주세요 제발~
방탄소년단 군대에 대해 어떻게 생각해?,나는 가야 된다고 생각해
ㅋㅋ 왜 그렇게 생각해?,음 대한민국 법이 그렇잖아
그건 맞지 근데 팬들이 못 보낸대,아니 언제부터 팬들 말을 들었다구
그때 막 청원 올리지 않았었나?,엥 세상이 미쳐 돌아가는구나
근데 방탄 분들은 군대 간다고 그랬대,그럼 그냥 가면 되는 거 아냐?
그치 근데 한국 알리는데 일조했다고 안 가도 된다는 식으로 이야기 했나 봐,힉 그 팬들이 그랬어?
